,Unnamed: 0,Question 11: Please provide the name(s) of the main research software you use,Software,Number
0,matlab,86.0,matlab,81.0
1,spss,66.0,spss,63.0
2,r,64.0,r,65.0
3,excel,40.0,excel,48.0
4,python,38.0,python,44.0
5,nvivo,27.0,nvivo,26.0
6,stata,24.0,stata,24.0
7,imagej,21.0,imagej,16.0
8,mathematica,16.0,mathematica,16.0
9,origin,15.0,origin,12.0
10,labview,15.0,labview,11.0
11,microsoft excel,13.0,,
12,endnote,11.0,endnote,13.0
13,graphpad prism,10.0,graphpad prism,11.0
14,latex,9.0,latex,9.0
15,minitab,9.0,minitab,7.0
16,prism,9.0,prism,8.0
17,fortran,9.0,fortran,8.0
18,idl,7.0,idl,7.0
19,gaussian,6.0,gaussian,4.0
20,c++,5.0,c++,9.0
21,sigmaplot,5.0,sigmaplot,5.0
22,root,5.0,root,5.0
23,c,5.0,c,7.0
24,sage,5.0,sage,8.0
25,arcgis,5.0,arcgis,4.0
26,castep,5.0,castep,5.0
27,qualtrics,4.0,qualtrics,4.0
28,perl,4.0,perl,4.0
29,bash,4.0,bash,7.0
30,maple,4.0,maple,3.0
31,igor pro,4.0,igor pro,4.0
32,microsoft office,4.0,microsoft office,2.0
33,mestrenova,4.0,mestrenova,2.0
34,mendeley,4.0,mendeley,3.0
35,abaqus,4.0,abaqus,3.0
36,mlwin,4.0,mlwin,5.0
37,plink,4.0,plink,3.0
38,blast,4.0,blast,3.0
39,sas,4.0,sas,4.0
40,visual studio,3.0,visual studio,3.0
41,solidworks,3.0,solidworks,3.0
42,numpy,3.0,numpy,4.0
43,comsol,3.0,comsol,3.0
44,paraview,3.0,paraview,3.0
45,samtools,3.0,samtools,3.0
46,amos,3.0,amos,4.0
47,java,3.0,java,4.0
48,word,3.0,word,4.0
49,ape,3.0,ape,2.0
50,vasp,3.0,vasp,3.0
51,access,3.0,access,5.0
52,psychopy,3.0,psychopy,2.0
53,volocity,3.0,volocity,3.0
54,pymol,3.0,pymol,4.0
55,presentation,3.0,presentation,1.0
56,galaxy,3.0,galaxy,3.0
57,haploview,2.0,haploview,2.0
58,raxml,2.0,raxml,2.0
59,bristol online survey,2.0,bristol online survey,2.0
60,gnuplot,2.0,gnuplot,2.0
61,vectornti,2.0,,
62,winbugs,2.0,winbugs,1.0
63,meep,2.0,meep,1.0
64,answer,2.0,answer,1.0
65,gcc,2.0,gcc,1.0
66,gatk,2.0,gatk,2.0
67,mpi,2.0,mpi,2.0
68,spm,2.0,spm,2.0
69,genstat,2.0,genstat,2.0
70,microsoft access,2.0,,
71,originpro,2.0,originpro,2.0
72,p,2.0,,
73,zotero,2.0,zotero,2.0
74,cytoscape,2.0,,
75,flowjo,2.0,flowjo,1.0
76,molpro,2.0,molpro,2.0
77,collatex,2.0,collatex,2.0
78,ansys,2.0,ansys,2.0
79,xmgrace,2.0,xmgrace,1.0
80,ndipv4 written by atos origin [belongs to nhs scotl,2.0,,
81,st,2.0,,
82,berkeley madonna,2.0,,
83,octave,2.0,octave,2.0
84,cplex,2.0,cplex,1.0
85,revman,2.0,revman,2.0
86,rstudio,2.0,rstudio,2.0
87,vensim,2.0,vensim,1.0
88,eclipse,2.0,eclipse,2.0
89,ms excel,2.0,,
90,omero,2.0,omero,2.0
91,lammps,2.0,lammps,2.0
92,clc genomics workbench,2.0,,
93,magma,2.0,magma,2.0
94,qgis,2.0,qgis,2.0
95,gentle,2.0,gentle,2.0
96,lasergene,2.0,lasergene,1.0
97,genie,2.0,genie,2.0
98,shell scripts,2.0,shell scripts,3.0
99,matplotlib,2.0,matplotlib,4.0
100,cst microwave studio,2.0,cst microwave studio,2.0
101,qtiplot,2.0,qtiplot,2.0
102,nwchem,2.0,nwchem,2.0
103,fenics,2.0,fenics,1.0
104,openfoam,2.0,openfoam,2.0
105,ccp4,2.0,ccp4,2.0
106,gsea,2.0,,
107,eprime,2.0,eprime,2.0
108,mplus,2.0,mplus,2.0
109,sam tools,2.0,sam tools,2.0
110,geant4,2.0,geant4,2.0
111,graphpad,2.0,graphpad,2.0
112,sketchup,2.0,,
113,atlas.ti,2.0,atlas.ti,2.0
114,gams,2.0,gams,1.0
115,originlab,2.0,originlab,1.0
116,photoshop,2.0,photoshop,4.0
117,irfanview,1.0,irfanview,1.0
118,libatoms/quip,1.0,,
119,multisim,1.0,multisim,1.0
120,filezilla,1.0,filezilla,1.0
121,analysis sources: wok,1.0,,
122,various in-house python routines,1.0,,
123,programming,1.0,,
124,dco,1.0,dco,1.0
125,tair,1.0,,
126,opentidalfarm,1.0,opentidalfarm,1.0
127,olex2,1.0,,
128,coot,1.0,coot,3.0
129,... i have maybe interpreted too tightly your definition,1.0,,
130,various bespoke software for aircraft design synthesis,1.0,,
131,gephi,1.0,gephi,1.0
132,rokdoc,1.0,rokdoc,1.0
133,lidar,1.0,,
134,bwa,1.0,,
135,trinity,1.0,trinity,1.0
136,plink-seq,1.0,plink-seq,1.0
137,html,1.0,html,1.0
138,sansview,1.0,sansview,1.0
139,irap-rms,1.0,irap-rms,1.0
140,text processing software,1.0,text processing software,1.0
141,thesaurus linguae graecae,1.0,thesaurus linguae graecae,1.0
142,dnastar lasergene,1.0,dnastar lasergene,1.0
143,vmd,1.0,vmd,1.0
144,banxia,1.0,banxia,1.0
145,asp.net,1.0,asp.net,1.0
146,cp2k,1.0,cp2k,1.0
147,velvet,1.0,velvet,1.0
148,bash scripting,1.0,,
149,qub,1.0,qub,1.0
150,clan,1.0,clan,1.0
151,past hammer,1.0,past hammer,1.0
152,mcm mapper,1.0,mcm mapper,1.0
153,abinit,1.0,abinit,1.0
154,david,1.0,david,1.0
155,meme,1.0,meme,1.0
156,cubempi,1.0,cubempi,1.0
157,livecode,1.0,livecode,2.0
158,kidney.optimalmatching.com,1.0,,
159,r for data analysis. the remaining software comprises assorted programs i wrote in python,1.0,,
160,mayavi,1.0,mayavi,1.0
161,stanfordnlp,1.0,stanfordnlp,1.0
162,tinnr,1.0,tinnr,1.0
163,factiva,1.0,factiva,1.0
164,multiple self-written scripts in r,1.0,,
165,igor,1.0,igor,1.0
166,gpde,1.0,gpde,1.0
167,fast-lmm,1.0,fast-lmm,1.0
168,genepattern,1.0,,
169,copasi,1.0,copasi,1.0
170,gdal,1.0,gdal,1.0
171,garand,1.0,garand,1.0
172,intrgrated genomics viewer,1.0,,
173,ls dyna,1.0,,
174,mainly online resources for the analysis of dna/rna sequences,1.0,,
175,sed,1.0,sed,1.0
176,cygwin,1.0,,
177,seisworks,1.0,seisworks,1.0
178,cryomeas,1.0,cryomeas,1.0
179,solve,1.0,,
180,plastimatch,1.0,,
181,muscle,1.0,muscle,1.0
182,coin-or,1.0,,
183,papers3,1.0,papers3,1.0
184,gimp/adobe photoshop,1.0,,
185,my own software written in r or c++,1.0,,
186,thermal,1.0,,
187,emim,1.0,emim,1.0
188,visual basic,1.0,visual basic,2.0
189,grasshopper,1.0,,
190,diamond light source control software,1.0,diamond light source control software,1.0
191,occasional octave,1.0,,
