,Unnamed: 0,Question 2: Which of the following roles apply to you,Number
0,I conduct research,371,395.0
1,I manage researchers or research projects,140,149.0
2,I support researchers,96,104.0
3,I develop software for researchers,64,71.0
4,I do lots of teaching admin and teaching,1,
5,Develop public outreach,1,
6,I do research but am officially 'retired',1,
7,design research,1,
8,technician,1,
9,IT and medical physics,1,
10,Teaching + Admin,1,
11,Lecture,1,
12,SME director,1,
13,I teach,1,
14,I teach and develop software for teaching,1,
15,teach/admin,1,
16,I also teach using various software packages,1,
17,teaching fellow,1,
18,teacher,1,
19,both of which are also a part of academia,1,
20,teaching,1,
