,Question 1: In which institution are you based,percentage
imperial college london,52,13.0
university of bristol,44,11.0
queen mary university of london,34,9.0
university of leeds,30,8.0
university of cambridge,28,7.0
university of glasgow,23,6.0
university of nottingham,23,6.0
university of liverpool,22,6.0
ucl,22,6.0
university of birmingham,21,5.0
university of sheffield,21,5.0
queen's university belfast,20,5.0
university of cardiff,20,5.0
university of edinburgh,16,4.0
university of newcastle,15,4.0
