,Question 4: Which funder currently provides the majority of your funding,percentage
epsrc - engineering and physical sciences research council,87,22.0
university central funds,50,13.0
european union,29,7.0
esrc - economic and social research council,28,7.0
"other foundation, society or charity",28,7.0
don't know,23,6.0
nerc - natural environment research council,20,5.0
mrc - medical research council,20,5.0
industry,17,4.0
stfc - science and technology facilities council,14,4.0
bbsrc - biotechnology and biological sciences research council,14,4.0
wellcome trust,13,3.0
nihr,12,3.0
ahrc - arts and humanities research council,11,3.0
uk government,5,1.0
mixed funding,3,1.0
self funded,3,1.0
non-uk government,3,1.0
no funding,2,1.0
european research council,2,1.0
not known,2,1.0
nih,2,1.0
no answer,1,0.0
hefce,1,0.0
not prepared to answer,1,0.0
