,Number
EPSRC - Engineering and Physical Sciences Research Council,89
Others,68
University central funds,54
ESRC - Economic and Social Research Council,31
European,27
Don't know,26
MRC - Medical Research Council,21
NERC - Natural Environment Research Council,20
STFC - Science and Technology Facilities Council,15
BBSRC - Biotechnology and Biological Sciences Research Council,14
National Institute for Health Research,13
Wellcome Trust,13
AHRC - Arts and Humanities Research Council,10
Industry,6
Leverhulme Trust,6
Cancer Research UK,2
Private source,2
